
2024/08/19 (02:21:01) | ===> btop++ v.1.3.2
2024/08/19 (02:21:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:25:51) | ===> btop++ v.1.3.2
2024/08/21 (13:25:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (15:00:07) | ===> btop++ v.1.4.0
2024/09/24 (15:00:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/24 (15:00:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (15:00:22) | ===> btop++ v.1.4.0
2024/09/24 (15:00:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/24 (15:00:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (15:00:40) | ===> btop++ v.1.4.0
2024/09/24 (15:00:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/24 (15:00:40) | WARNING: Intel GPU: Failed to initialize PMU
